/// Shaman Spell Status Data ///

    // Otherworldly Grasp //

    data "DescriptionParams" "DealDamage(LevelMapValue(D8Cantrip),Necrotic);TemporaryHP(TemporaryHP(Cause.LevelMapValue(D4Cantrip)))"
    data "Icon" "Spell_Necromancy_FalseLife"
    data "StatusPropertyFlags" "DisableCombatlog;DisablePortraitIndicator;DisableOverhead;NonExtendable"
    data "OnRemoveFunctors" "IF(not IsConcentrating()):RemoveStatus(SB_ShamanLL_OtherworldlyHP)"
    data "StatusGroups" "SG_RemoveOnRespec"

    // Totemic Cowl //

    new entry "SB_Target_TotemicCowl_Status"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "h14e4b791g37c8g47c5g95dfg6cee01e8454b;2"
    data "Description" "h0c15a94ag4957g4314g8e64g37f619425682;4"
    data "DescriptionParams" "1"
    data "Icon" "Spell_Abjuration_WardingBond"
    data "SoundLoop" "Spell_Status_Buff_MO"
    data "StackId" "Totemic_Cowl"
    data "StatusPropertyFlags" "FreezeDuration;MultiplyEffectsByDuration"
    data "StackPriority" "0"
    data "Boosts" "DamageReduction(All, Flat, 1)"
    data "RemoveEvents" "OnSourceDeath"
    data "StatusEffect" "32ca31c6-a1fe-43d8-8251-7701a22fc46a"

    new entry "SB_Target_TotemicCowl_Owner"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "h14e4b791g37c8g47c5g95dfg6cee01e8454b;2"
    data "Description" "h0c15a94ag4957g4314g8e64g37f619425682;4"
    data "DescriptionParams" "1"
    data "Icon" "Spell_Abjuration_WardingBond"
    data "StackId" "Totemic_Cowl"
    data "StatusPropertyFlags" "TickingWithSource"
    data "StackPriority" "1"
    data "StatusEffect" "32ca31c6-a1fe-43d8-8251-7701a22fc46a"

    // Spiritual Sundering //
    
    new entry "SB_Target_SpiritualSunderingStatus"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "h36efa902g81b7g4e3eg8137gb6149662d91c;1"
    data "Description" "hc32e5c52g3e8fg420cgbbedgfaf5a2f80b22;9"
    data "Icon" "Spell_Enchantment_Bane"
    data "StillAnimationType" "Weakened"
    data "StillAnimationPriority" "Weakened"
    data "SoundVocalStart" "WEAK"
    data "StackId" "BANE"
    data "TickType" "EndTurn"
    data "Boosts" "RollBonus(SavingThrow,-1d6,Wisdom);RollBonus(SavingThrow,-1d6,Charisma);RollBonus(SavingThrow,-1d6,Intelligence)"
    data "RemoveConditions" "SavingThrow(Ability.Charisma, SourceSpellDC())"
    data "RemoveEvents" "OnTurn"
    data "StatusPropertyFlags" "InitiateCombat"
    data "ManagedStatusEffectType" "Negative"
    data "ManagedStatusEffectGroup" "6435c10a-c67d-4f79-8813-b84b0762f92b"

    // Dawn //

    new entry "SB_Dawn"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "heb1d42dfgaad2g4ca6gabf7g83b101791226;2"
    data "Description" "hddd473aegb174g4f67g934dg1399cdcebc9d;2"
    data "DescriptionParams" "DealDamage(4d10,Radiant)"
    data "Icon" "Spell_Evocation_Moonbeam"
    data "SoundStart" "Spell_Status_MoonBeam_Enter"
    data "SoundLoop" "Spell_Status_MoonBeam_MO"
    data "SoundStop" "Spell_Status_MoonBeam_MO_Stop"
    data "StackId" "MOONBEAM"
    data "TickType" "StartTurn"
    data "StatusPropertyFlags" "InitiateCombat;BringIntoCombat"
    data "OnApplyRoll" "not SavingThrow(Ability.Constitution,CalculateSpellDC(context.PreferredCastingAbility, GetSummoner(context.Source)))"
    data "OnApplySuccess" "DealDamage(4d10,Radiant,Magical)"
    data "OnApplyFail" "DealDamage(4d10/2,Radiant,Magical)"
    data "OnTickRoll" "not SavingThrow(Ability.Constitution,CalculateSpellDC(context.PreferredCastingAbility, GetSummoner(context.Source)))"
    data "OnTickSuccess" "DealDamage(4d10,Radiant,Magical)"
    data "OnTickFail" "DealDamage(4d10/2,Radiant,Magical)"
    data "ApplyEffect" "62710804-ff29-4936-9d45-0e6a44372526"
    data "StatusEffect" "73f8b212-1a39-4214-8a32-b5e1427ec860"

    new entry "SB_Dawn_AURA"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "h884e9694g454dg4b19g9341g0351dcfffad0;2"
    data "Description" "h444939b4g734eg4c9cg8fd8g8170a0f37e9c;4"
    data "DescriptionParams" "DealDamage(2d10,Radiant)"
    data "Icon" "Spell_Evocation_Moonbeam"
    data "StackId" "SB_Dawn_AURA"
    data "AuraRadius" "3"
    data "AuraStatuses" "TARGET:IF(Character() and not Dead()):ApplyStatus(SB_Dawn,100,-1);TARGET:IF(Character() and not Dead() and HasPassive('SunlightHypersensitivity')):ApplyStatus(SUNLIGHT_FROM_SPELL_TECHNICAL)"
    data "Boosts" "GameplayLight(3,false,0.1,true)"
    data "StatusPropertyFlags" "DisableOverhead;DisableCombatlog;InitiateCombat;BringIntoCombat"
    data "StatusEffect" "dd02e9e1-8ab7-4da0-9097-26fd886c06d4"

    new entry "SB_Dawn_OWNER"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "h19303fadgf83fg49ddgb579g51e2f5fd8fe5;1"
    data "Description" "h215eb8b5g1e29g4e8bgac3dg79b458de3aea;1"
    data "Icon" "Spell_Evocation_Moonbeam"
    data "StackId" "SB_Dawn_OWNER"
    data "Boosts" "UnlockSpell(SB_Target_Dawn_Move)"
    data "StatusPropertyFlags" "DisableOverhead;DisableCombatlog;DisablePortraitIndicator"
    data "OnRemoveFunctors" "BreakConcentration()"

/// Spirit Warrior Status Data ///

    // Totemic Might //

    new entry "SB_SpiritWarrior_TotemicChallenge_Stat"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "h7fc3bc14g532bg41d6gbc32gce72c9fa2832;1"
    data "Description" "hf1798397gea42g4733gbe93gd621f55e98db;6"
    data "Icon" "SB_SpiritChallenge_Icon"
    data "StackId" "SHILLELAGH"
    data "Boosts" "WeaponProperty(Magical);WeaponAttackRollAbilityOverride(Wisdom);Attribute(InventoryBound)"
    data "StatusGroups" "SG_RemoveOnRespec"
    data "StatusEffect" "c4007bf4-09db-4aa4-99e5-6ff1f8693460"

    new entry "SB_SpiritWarrior_TotemicChallenge_StatSelf"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "h7fc3bc14g532bg41d6gbc32gce72c9fa2832;1"
    data "Description" "hf1798397gea42g4733gbe93gd621f55e98db;6"
    data "Icon" "SB_SpiritChallenge_Icon"
    data "StackId" ""
    data "Passives" "SB_SpiritWarrior_Totemic_Challenger"
    data "StatusPropertyFlags" "DisableOverhead;DisableCombatlog;DisablePortraitIndicator"
    data "StatusGroups" "SG_RemoveOnRespec"

    new entry "SB_SpiritWarrior_Totemic_Challenged"
    type "StatusData"
    data "StatusType" "BOOST"
    using "TAUNTED"
    data "DisplayName" "h7fc3bc14g532bg41d6gbc32gce72c9fa2832;1"
    data "Description" "hc8e4f0b9g9b1eg4c6cgaed4g9601c114dd6f;6"
    data "Icon" "SB_SpiritChallenge_Icon"
    data "TickType" "StartTurn"
    data "StackId" "COMPELLED_DUEL"
    data "Boosts" "IF(not HasStatus('SB_SpiritWarrior_Totemic_Challenged', context.Source, context.Target)):Disadvantage(AttackRoll)"
    data "StatusPropertyFlags" "TickingWithSource"
    data "ManagedStatusEffectType" "Negative"
    data "ManagedStatusEffectGroup" "6435c10a-c67d-4f79-8813-b84b0762f92b"

    new entry "SB_SpiritWarrior_TotemicDrain_Stat"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "hd64cbe1eged79g483bg9f9dgb13b3d90be9c;1"
    data "Description" "h9b035a6cg833fg40cdg9cdbg425a0391b3cd;6"
    data "Icon" "SB_SpiritDraining_Icon"
    data "StackId" "SHILLELAGH"
    data "Boosts" "WeaponProperty(Magical);WeaponAttackRollAbilityOverride(Wisdom);Attribute(InventoryBound);"
    data "StatusGroups" "SG_RemoveOnRespec"
    data "StatusEffect" "c4007bf4-09db-4aa4-99e5-6ff1f8693460"

    new entry "SB_SpiritWarrior_TotemicDrain_StatSelf"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "hd64cbe1eged79g483bg9f9dgb13b3d90be9c;1"
    data "Description" "h9b035a6cg833fg40cdg9cdbg425a0391b3cd;6"
    data "Icon" "SB_SpiritDraining_Icon"
    data "StackId" "SHILLELAGH"
    data "Boosts" "UnlockSpell(SB_SpiritWarrior_TotemicDrainAttack)"
    data "StatusGroups" "SG_RemoveOnRespec"
    data "StatusEffect" "c4007bf4-09db-4aa4-99e5-6ff1f8693460"

    new entry "SB_SpiritWarrior_TotemicDrainHP"
    type "StatusData"
    data "StatusType" "BOOST"
    data "Icon" "SB_SpiritDraining_Icon"
    data "DisplayName" "hd64cbe1eged79g483bg9f9dgb13b3d90be9c;1"
    data "Description" "h9b035a6cg833fg40cdg9cdbg425a0391b3cd;6"
    data "DescriptionParams" "DealDamage(LevelMapValue(D8Cantrip),Necrotic);"
    data "SoundStart" "Misc_Status_Stormshoretabernacle_Godblessed"
    data "StackId" "TEMPORARY_HP"
    data "Boosts" "TemporaryHP(WisdomModifier)"
    data "StatusPropertyFlags" ""
    data "RemoveConditions" "not HasTemporaryHP()"
    data "RemoveEvents" "OnDamage"
    data "StatusGroups" "SG_RemoveOnRespec"
    data "ApplyEffect" "c8f93b82-29e0-44ab-af10-d4284d67974b"

    new entry "SB_SpiritWarrior_TotemicMight_Stat"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "hcee741b1gae69g4634g9c75g6bfc4e59b3ae;1"
    data "Description" "he7165934g03e7g4e7fg93f8g29720c41dea2;6"
    data "Icon" "SB_SpiritDraining_Icon"
    data "StackId" "SHILLELAGH"
    data "Boosts" "WeaponProperty(Magical);WeaponAttackRollAbilityOverride(Wisdom);Attribute(InventoryBound)"
    data "StatusGroups" "SG_RemoveOnRespec"
    data "StatusEffect" "c4007bf4-09db-4aa4-99e5-6ff1f8693460"

    new entry "SB_SpiritWarrior_TotemicMight_StatSelf"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "hcee741b1gae69g4634g9c75g6bfc4e59b3ae;1"
    data "Description" "he7165934g03e7g4e7fg93f8g29720c41dea2;6"
    data "Icon" "SB_SpiritDraining_Icon"
    data "StackId" ""
    data "Passives" "SB_SpiritWarrior_TotemicMight_Bonus;SB_SpiritWarrior_TotemicMight_Bonus2"
    data "StatusPropertyFlags" "DisableOverhead;DisableCombatlog;DisablePortraitIndicator"
    data "StatusGroups" "SG_RemoveOnRespec"

    // Extra Attack //

    new entry "SB_ExtraAttack_SpiritWarriorCantripsExtra"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "h322e38eeg690eg4d35gb9a7g511b9e42428e;1"
    data "Description" "h5131f06bgff9ag4245g954dgcfa50b927031;2"
    data "Icon" "PassiveFeature_ExtraAttack"
    data "TickType" "StartTurn"
    data "Boosts" "IF(not HasStatus('SB_ExtraAttack_SpiritWarriorCantripUsed')):UnlockSpellVariant(SB_SpiritWarrior_CantripCheckCheck(),ModifyUseCosts(Replace,ActionPoint,0,0,ActionPoint),ModifyIconGlow(),ModifyTooltipDescription())"
    data "RemoveConditions" "(ExtraAttackSpellCheck() or SB_SpiritWarrior_CantripCheckCheck()) and HasUseCosts('ActionPoint',false,context.Target) and not IsOffHandAttack()"
    data "RemoveEvents" "OnSpellCast"
    data "StatusPropertyFlags" "DisableCombatlog;DisablePortraitIndicator;DisableOverhead;ApplyToDead"
    data "OnRemoveFunctors" "IF(RemoveCause(StatusRemoveCause.Condition)):RemoveStatus('EXTRA_ATTACK',100,1)"

    new entry "SB_ExtraAttack_SpiritWarriorCantripUsed"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "h322e38eeg690eg4d35gb9a7g511b9e42428e;1"
    data "Description" "h5131f06bgff9ag4245g954dgcfa50b927031;2"
    data "Icon" "PassiveFeature_ExtraAttack"
    data "TickType" "StartTurn"
    data "RemoveConditions" "(ExtraAttackSpellCheck() or SB_SpiritWarrior_CantripCheckCheck()) and HasUseCosts('ActionPoint',false,context.Target) and not IsOffHandAttack()"
    data "RemoveEvents" "OnSpellCast"
    data "StatusPropertyFlags" "DisableCombatlog;DisablePortraitIndicator;DisableOverhead;ApplyToDead"

    // Warrior of the Grave //

    new entry "SB_SpiritWarrior_GraveWarriorStatus"
    type "StatusData"
    data "StatusType" "BOOST"
    using "SURVIVAL_INSTINCT"
    data "DisplayName" "h66c2a5d8g44dbg46e0g8c32gab30270fbb24;1"
    data "DescriptionParams" "RegainHitPoints(1)"
    data "Icon" "SB_SpiritDraining_Icon"
    data "SoundLoop" ""
    data "SoundStop" ""
    data "StackId" "SB_GraveWarrior"
    data "Boosts" "DownedStatus(SB_SpiritWarrior_GraveWarriorDowned,5)"
    data "StatusPropertyFlags" "DisableOverhead;DisableCombatlog;DisablePortraitIndicator;ApplyToDead;IgnoreResting"
    data "StatusGroups" "SG_RemoveOnRespec"
    data "StatusEffect" ""

    new entry "SB_SpiritWarrior_GraveWarriorStatus"
    type "StatusData"
    data "StatusType" "DOWNED"
    using "SURVIVAL_INSTINCT_DOWNED"
    data "DisplayName" "h66c2a5d8g44dbg46e0g8c32gab30270fbb24;1"
    data "Icon" "SB_SpiritDraining_Icon"
    data "OnApplyFunctors" "RemoveStatus(SB_SpiritWarrior_GraveWarriorStatus);RegainHitPoints(1,Guaranteed)"
    data "StatusGroups" "SG_Incapacitated"
    data "ApplyEffect" ""

    // Spiritual Champion //

    new entry "SB_Status_SpiritualChampion"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "h3722f63bg8e1fg44dbg9f74g17bdf0dee545;2"
    data "Description" "hd5e42593gbbeeg4927gb385g2dacb1267681;2"
    data "DescriptionParams" "DealDamage(3d8,Necrotic)"
    data "Icon" "SB_SpiritualChampion_Icon"
    data "StackId" "SB_Spiritual_Champion"
    data "Boosts" "Resistance(Bludgeoning, Resistant);Resistance(Piercing, Resistant);Resistance(Slashing, Resistant);UnlockInterrupt(SB_Interrupt_SpiritualChampion);UnlockSpell(Shout_Dash_BonusAction)"
    data "StatusGroups" "SG_RemoveOnRespec"
    data "StatusEffect" "a340c5c1-c31d-4a5f-b3ed-ee80641b8ed8"

/// Curse Binder ///

    // Totemic Curse //

    new entry "SB_Interrupt_TotemicCurse_SlowStatus1"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "hfd0e1099g3f98g45dfgb65ag8c42aa8c0e1e;2"
    data "Description" "he3231ce1g5219g4de6g9097gc77a98f1a98c;2"
    data "DescriptionParams" "Distance(1.5)"
    data "Icon" "SB_CurseSlow_Icon"
    data "StillAnimationType" "Weakened"
    data "StillAnimationPriority" "Weakened"
    data "StackId" "SB_TotemicCurse"
    data "TickType" "EndTurn"
    data "Boosts" "ActionResource(Movement,-1.5,0)"
    data "StatusGroups" "SG_Restrained;SG_Condition"
    data "StatusPropertyFlags" "TickingWithSource"
    data "ManagedStatusEffectType" "Negative"
    data "ManagedStatusEffectGroup" "d787f666-8ee6-4185-9365-6aac9ebe76ae"

    new entry "SB_Interrupt_TotemicCurse_SlowStatus2"
    type "StatusData"
    data "StatusType" "BOOST"
    using "SB_Interrupt_TotemicCurse_SlowStatus1"
    data "DescriptionParams" "Distance(3)"
    data "Boosts" "ActionResource(Movement,-3,0)"

    new entry "SB_Interrupt_TotemicCurse_SlowStatus3"
    type "StatusData"
    data "StatusType" "BOOST"
    using "SB_Interrupt_TotemicCurse_SlowStatus1"
    data "DescriptionParams" "Distance(4.5)"
    data "Boosts" "ActionResource(Movement,-4.5,0)"

    new entry "SB_Interrupt_TotemicCurse_SlowStatus4"
    type "StatusData"
    data "StatusType" "BOOST"
    using "SB_Interrupt_TotemicCurse_SlowStatus1"
    data "DescriptionParams" "Distance(6)"
    data "Boosts" "ActionResource(Movement,-6,0)"

    new entry "SB_Interrupt_TotemicCurse_SlowStatus5"
    type "StatusData"
    data "StatusType" "BOOST"
    using "SB_Interrupt_TotemicCurse_SlowStatus1"
    data "DescriptionParams" "Distance(7.5)"
    data "Boosts" "ActionResource(Movement,-7.5,0)"

    new entry "SB_Interrupt_TotemicCurse_BaneStatus"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "hee485c58g4681g4b1ag9a8eg2ca1beca65fa;1"
    data "Description" "h20a0675fg7506g4687ga1c4g27422fbd5215;2"
    data "DescriptionParams" "Cause.WisdomModifier"
    data "Icon" "SB_CurseWeaken_Icon"
    data "StillAnimationType" "Weakened
    data "StillAnimationPriority" "Weakened"
    data "SoundVocalStart" "WEAK"
    data "StackId" "SB_TotemicCurse"
    data "TickType" "StartTurn"
    data "StatusPropertyFlags" "TickingWithSource"
    data "Boosts" "RollBonus(Attack,-Cause.WisdomModifier);RollBonus(SkillCheck,-Cause.WisdomModifier)"
    data "ManagedStatusEffectType" "Negative"
    data "ManagedStatusEffectGroup" "6435c10a-c67d-4f79-8813-b84b0762f92b"

    new entry "SB_Interrupt_TotemicCurse_HexStatus"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "h5856ae9bg21afg418bg99ccg017381cffe30;3"
    data "Description" "h544da829g86f0g456aga538g6fe4b84f181e;4"
    data "DescriptionParams" "DealDamage(1d4, Necrotic);"
    data "Icon" "SB_CurseHex_Icon"
    data "StillAnimationType" "Weakened"
    data "StillAnimationPriority" "Weakened"
    data "StackId" "SB_TotemicCurse"
    data "Passives" "SB_Interrupt_TotemicCurse_HexPassive"
    data "TickType" "StartTurn"
    data "StatusPropertyFlags" "TickingWithSource"
    data "Boosts" "BlockRegainHP(Living;Undead)"
    data "StatusGroups" "SG_Condition"
    data "StatusEffect" "1c11d619-a4b0-457c-b65f-da970e47177c"
   
    new entry "SB_Interrupt_TotemicCurse_HexDamage"
    type "StatusData"
    data "StatusType" "BOOST"
    using "SB_Interrupt_TotemicCurse_HexStatus"
    data "Icon" "SB_CurseHex_Icon"
    data "StillAnimationType" ""
    data "StillAnimationPriority" ""
    data "StackId" "SB_TotemicCurse_Damage"
    data "Passives" ""
    data "RemoveEvents" ""
    data "TickFunctors" ""
    data "StatusPropertyFlags" "InitiateCombat;DisableOverhead;DisableCombatlog;DisablePortraitIndicator"
    data "OnApplyFunctors" "DealDamage(1d4,Necrotic)"
    data "StatusGroups" ""
    data "StatusEffect" ""

    // Shamanistic Ward //

    new entry "SB_Shamanistic_Acid"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "h611f083cga5e2g4649g9988g739a16c29710;2"
    data "Description" "ha66463d8g65a1g4d30g9e60g04e1fd63d44f;3"
    data "DescriptionParams" "Acid"
    data "Icon" "GenericIcon_DamageType_Acid"
    data "StackId" "SB_ShamanisticWard"
    data "Boosts" "Resistance(Acid,Resistant);"
    data "StatusPropertyFlags" "IgnoreResting"
    data "StatusGroups" "SG_RemoveOnRespec"

    new entry "SB_Shamanistic_THUNDER"
    type "StatusData"
    data "StatusType" "BOOST"
    using "SB_Shamanistic_Acid"
    data "DisplayName" "ha8945be5ge1cag4a54g910dgdfc648e5772f;2"
    data "DescriptionParams" "Thunder"
    data "Icon" "GenericIcon_DamageType_Thunder"
    data "Boosts" "Resistance(Thunder,Resistant);"

    new entry "SB_Shamanistic_NECROTIC"
    type "StatusData"
    data "StatusType" "BOOST"
    using "SB_Shamanistic_Acid"
    data "DisplayName" "h2f636f0fg20e7g47aeg8e97gd63118cd569d;2"
    data "DescriptionParams" "Necrotic"
    data "Icon" "GenericIcon_DamageType_Necrotic"
    data "Boosts" "Resistance(Necrotic,Resistant);"

    new entry "SB_Shamanistic_FIRE"
    type "StatusData"
    data "StatusType" "BOOST"
    using "SB_Shamanistic_Acid"
    data "DisplayName" "h46c72db7gdbbcg4443ga0bfgb59300909780;2"
    data "DescriptionParams" "Fire"
    data "Icon" "GenericIcon_DamageType_Fire"
    data "Boosts" "Resistance(Fire,Resistant);"

    new entry "SB_Shamanistic_LIGHTNING"
    type "StatusData"
    data "StatusType" "BOOST"
    using "SB_Shamanistic_Acid"
    data "DisplayName" "h4e71d7bcgbb3cg404fgbffag5ac516d83a56;2"
    data "DescriptionParams" "Lightning"
    data "Icon" "GenericIcon_DamageType_Lightning"
    data "Boosts" "Resistance(Lightning,Resistant);"

    new entry "SB_Shamanistic_COLD"
    type "StatusData"
    data "StatusType" "BOOST"
    using "SB_Shamanistic_Acid"
    data "DisplayName" "h1fd09182g16fcg4a61gb675gfcabe3d2ba22;2"
    data "DescriptionParams" "Cold"
    data "Icon" "GenericIcon_DamageType_Cold"
    data "Boosts" "Resistance(Cold,Resistant);"

    new entry "SB_Shamanistic_PSYCHIC"
    type "StatusData"
    data "StatusType" "BOOST"
    using "SB_Shamanistic_Acid"
    data "DisplayName" "hcb393eafgec54g4d5fga1eag914fc98fe4f6;2"
    data "DescriptionParams" "Psychic"
    data "Icon" "GenericIcon_DamageType_Psychic"
    data "Boosts" "Resistance(Psychic,Resistant);"

    new entry "SB_Shamanistic_POISON"
    type "StatusData"
    data "StatusType" "BOOST"
    using "SB_Shamanistic_Acid"
    data "DisplayName" "hf87d3ef8g328ag41ceg8054g3d01fe65010e;2"
    data "DescriptionParams" "Poison"
    data "Icon" "GenericIcon_DamageType_Poison"
    data "Boosts" "Resistance(Poison,Resistant);"

    new entry "SB_Shamanistic_RADIANT"
    type "StatusData"
    data "StatusType" "BOOST"
    using "SB_Shamanistic_Acid"
    data "DisplayName" "hcdc7071cg7081g4cd9gb4f3g9060e7be6bb4;2"
    data "DescriptionParams" "Radiant"
    data "Icon" "GenericIcon_DamageType_Radiant"
    data "Boosts" "Resistance(Radiant,Resistant);"

/// Witch Doctor ///

    // Mystical Focus //
 
    new entry "EXTRA_ATTACK"
    type "StatusData"
    data "StatusType" "BOOST"
    data "DisplayName" "h322e38eeg690eg4d35gb9a7g511b9e42428e;1"
    data "Description" "h5131f06bgff9ag4245g954dgcfa50b927031;2"
    data "Icon" "SB_MysticalFocus_Icon"
    data "StackPriority" "20"
    data "TickType" "StartTurn"
    data "Boosts" "UnlockSpellVariant(SpellId('SB_Target_TotemicAssaultRadiant'),ModifyUseCosts(Replace,BonusActionPoint,1,0,ActionPoint),ModifyIconGlow(),ModifyTooltipDescription())"
    data "RemoveConditions" "SpellId('SB_Target_TotemicAssaultRadiant')"
    data "RemoveEvents" "OnSpellCast"
    data "StatusPropertyFlags" "DisableCombatlog;DisablePortraitIndicator;DisableOverhead;ApplyToDead"

    // Totemic Blessing //

        // Unique //
        
        new entry "SB_Status_TotemicBlessing_Unique"
        type "StatusData"
        data "StatusType" "BOOST"
        data "DisplayName" ""
        data "Icon" "SB_Totem_BearActive_Icon"
        data "StatusPropertyFlags" "DisableOverhead;DisableCombatlog;DisablePortraitIndicator"

        // Bear //
    
        new entry "SB_Status_TotemicBlessing_Bear"
        type "StatusData"
        data "StatusType" "BOOST"
        data "DisplayName" "h0adb0744g8bf4g4ca7gad37gcb9db1539a00;1"
        data "Description" "h719f5007g23e8g4a66g97d4g2b80b8b72fcd;2"
        data "DescriptionParams" "Bear"
        data "Icon" "SB_Totem_BearActive_Icon"
        data "StackId" "SB_TotemicBlessing"
        data "Passives" "SB_Passive_Totems_Bear"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Bear_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "b42ef64a-9318-4b57-a757-cbd947b4c597"

        new entry "SB_Status_TotemicBlessing_Bear_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        data "DisplayName" "h0adb0744g8bf4g4ca7gad37gcb9db1539a00;1"
        data "Description" "h719f5007g23e8g4a66g97d4g2b80b8b72fcd;2"
        data "Icon" "SB_Totem_BearActive_Icon"
        data "OnRemoveFunctors" "RemoveStatus(Target,SB_Status_TotemicBlessing_Bear)"
        data "Boosts" "IF(HasPassive('SB_WitchDoctor_SelflessWard',context.Source)):RollBonus(SavingThrow,1);IF(HasPassive('SB_WitchDoctor_SelflessWard',context.Source)):RollBonus(DeathSavingThrow,1)"
        data "StatusPropertyFlags" "DisableOverhead;DisableCombatlog;DisablePortraitIndicator"

        // Crossroads //
    
        new entry "SB_Status_TotemicBlessing_Crossroads"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Crossroads"
        data "Icon" "SB_Totem_Crossroads_Icon"
        data "Passives" "SB_Passive_Totems_Crossroads"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Crossroads_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "b42ef64a-9318-4b57-a757-cbd947b4c597"

        new entry "SB_Status_TotemicBlessing_Crossroads_Self"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear_Self"
        data "DescriptionParams" "Crossroads"
        data "Icon" "SB_Totem_CrossroadsActive"

        // Eagle //
    
        new entry "SB_Status_TotemicBlessing_Eagle"
        type "StatusData"
        data "StatusType" "BOOST"
        using "SB_Status_TotemicBlessing_Bear"
        data "DescriptionParams" "Eagle"
        data "Icon" "SB_Totem_Eagle_Icon"
        data "Passives" "SB_Passive_Totems_Eagle"
        data "OnRemoveFunctors" "RemoveStatus(SELF,SB_Status_TotemicBlessing_Eagle_Self);IF(RemoveCause(StatusRemoveCause.Death)):RestoreResource(SELF,SB_TotemicBlessingCharge,1)"
        data "StatusEffect" "7d91f7f6-d58e-4a1a-b005-fd85c787c91f"

